open,high,low,close
28923,29600,28624,29331
29331,33300,28946,32178
32176,34778,31962,33000
33000,33600,28130,31988
31989,34360,29900,33949
33949,36939,33288,36769
36769,40365,36300,39432
39432,41950,36500,40582
40586,41380,38720,40088
40088,41350,35111,38150
38150,38264,30420,35404
35410,36628,32531,34051
34049,37850,32380,37371
37371,40100,36701,39144
39145,39747,34408,36742
36737,37950,35357,35994
35994,36852,33850,35828
35824,37469,34800,36631
36622,37850,35844,35891
35901,36415,33400,35468
35468,35600,30071,30850
30851,33826,28850,32945
32950,33456,31390,32078
32078,33071,30900,32259
32259,34875,31910,32254
32254,32921,30837,32467
32464,32557,29241,30366
30362,33783,29842,33364
33368,38531,31915,34252
34246,34933,32825,34262
34262,34342,32171,33092
33092,34717,32296,33526
33517,35984,33418,35466
35472,37662,35362,37618
37620,38708,36161,36936
36936,38310,36570,38290
38289,40955,38215,39186
39181,39700,37351,38795
38795,46794,37988,46374
46374,48142,44961,46420
46420,47310,43727,44807
44807,48678,43994,47969
47968,48985,46125,47287
47298,48150,46202,47153
47156,49707,47014,48577
48580,49010,45570,47911
47911,50689,47003,49133
49133,52618,48947,52119
52117,52530,50901,51552
51552,56368,50710,55906
55906,57700,53863,55841
55841,58352,55477,57408
57412,57508,47622,54087
54087,54183,44892,48891
48891,51374,46988,49676
49676,52041,46674,47073
47073,48424,44106,46276
46276,48394,45000,46106
46103,46638,43000,45135
45134,49790,44950,49587
49595,50200,47047,48440
48436,52640,48100,50349
50349,51773,47500,48374
48374,49448,46300,48751
48746,49200,47070,48882
48882,51450,48882,50971
50959,52402,49274,52375
52375,54895,51789,54884
54874,57387,53005,55851
55851,58150,54272,57773
57773,58081,54962,57221
57221,61844,56078,61188
61188,61724,58966,58968
58976,60633,54600,55605
55605,56938,53271,56900
56900,58974,54123,58912
58912,60129,57023,57648
57641,59468,56270,58030
58030,59880,57820,58102
58100,58589,55450,57351
57351,58430,53650,54083
54083,55830,53000,54340
54342,57200,51700,52303
52303,53287,50427,51293
51293,55073,51214,55025
55025,56700,53950,55817
55817,56559,54691,55777
55777,58405,54800,57635
57635,59368,57071,58746
58746,59800,56769,58740
58739,59490,57935,58720
58720,60200,58428,58950
58950,59791,56880,57051
57051,58492,56388,58202
58202,59272,56777,59129
59129,59495,57413,57991
57990,58655,55473,55953
55953,58153,55700,58077
58077,58894,57654,58142
58142,61500,57900,59769
59769,60699,59232,60002
59998,61300,59350,59860
59860,63777,59805,63575
63575,64854,61301,62959
62959,63800,62020,63159
63158,63520,60000,61334
61334,62506,59580,60006
60006,60499,50931,56150
56150,57526,54221,55633
55633,57076,53329,56425
56425,56757,53536,53787
53787,55521,50500,51690
51690,52131,47500,51125
51110,51166,48657,50047
50047,50567,46930,49066
49066,54356,48753,54001
54001,55460,53222,55011
55011,56428,53813,54846
54846,55195,52330,53555
53555,57963,53013,57694
57697,58458,56956,57800
57797,57911,56035,56578
56578,58981,56435,57169
57169,57200,53046,53200
53205,58069,52900,57436
57436,58360,55200,56393
56393,58650,55241,57314
57315,59500,56900,58862
58866,59300,56235,58240
58240,59500,53400,55816
55816,56862,54370,56670
56670,58000,48600,49631
49537,51367,46000,49670
49671,51483,48799,49841
49844,50700,46555,46762
46762,49795,43825,46431
46426,46686,42001,43538
43538,45799,42250,42849
42849,43584,30000,36690
36671,42451,34850,40526
40525,42200,33488,37252
37263,38829,35200,37449
37458,38270,31111,34655
34681,39920,34031,38796
38810,39791,36419,38324
38324,40841,37800,39241
39241,40411,37134,38529
38529,38877,34684,35663
35661,37338,33632,34605
34605,36488,33379,35641
35641,37499,34153,37253
37253,37894,35666,36693
36694,38225,35920,37568
37568,39476,37170,39246
39246,39289,35555,36829
36829,37925,34800,35513
35516,36480,35222,35796
35796,36900,33300,33552
33556,34068,31000,33380
33380,37534,32396,37388
37388,38491,35782,36675
36677,37680,35936,37331
37331,37463,34600,35546
35546,39380,34757,39020
39020,41064,38730,40516
40516,41330,39506,40144
40143,40527,38116,38349
38349,39559,37365,38092
38092,38202,35129,35819
35820,36457,34803,35483
35483,36137,33336,35600
35600,35750,31251,31608
31614,33298,28805,32509
32509,34881,31683,33678
33675,35298,32286,34663
34663,35500,31275,31584
31576,32730,30151,32283
32283,34749,31973,34700
34702,35297,33862,34494
34494,36600,34225,35911
35911,36100,34017,35045
35045,35057,32711,33504
33502,33977,32699,33786
33786,34945,33316,34669
34669,35967,34357,35286
35288,35293,33125,33690
33690,35118,33532,34220
34220,35059,33777,33862
33862,33929,32077,32875
32875,34100,32261,33815
33815,34262,33004,33502
33502,34666,33306,34258
34259,34678,32658,33086
33086,33340,32202,32729
32729,33114,31550,32820
32820,33185,31133,31880
31874,32249,31020,31383
31383,31955,31164,31520
31520,32435,31108,31778
31778,31899,30407,30839
30839,31063,29278,29790
29790,32858,29482,32144
32144,32591,31708,32287
32287,33650,31924,33634
33634,34500,33401,34258
34261,35398,33851,35381
35381,40550,35205,37237
37241,39542,36383,39457
39456,40900,38772,40019
40019,40640,39200,40016
40018,42316,38313,42206
42206,42448,41000,41461
41461,42599,39422,39845
39850,40480,38690,39147
39146,39780,37642,38207
38207,39969,37508,39723
39723,41350,37332,40862
40862,43392,39853,42836
42836,44700,42446,44572
44572,45310,43261,43794
43794,46454,42779,46253
46248,46700,44589,45584
45585,46743,45341,45511
45510,46218,43770,44399
44400,47886,44217,47800
47799,48144,45971,47068
47068,47372,45500,46973
46973,48053,45660,45901
45901,47160,44376,44695
44695,46000,44203,44705
44699,47033,43927,46760
46760,49382,46622,49322
49322,49757,48222,48821
48821,49500,48050,49239
49239,50500,49029,49488
49488,49860,47600,47674
47674,49264,47126,48973
48973,49352,46250,46843
46843,49149,46348,49069
49069,49299,48346,48895
48895,49632,47762,48767
48767,48888,46853,46982
46982,48246,46700,47100
47100,49156,46512,48810
48810,50450,48584,49246
49246,51000,48316,49999
49998,50535,49370,49915
49917,51900,49450,51756
51756,52780,50969,52663
52666,52920,42843,46863
46868,47340,44412,46048
46048,47399,45513,46395
46395,47033,44132,44850
44842,45987,44722,45173
45173,46460,44742,46025
46025,46880,43370,44940
44940,47250,44594,47111
47103,48500,46682,48121
48121,48557,47021,47737
47737,48150,46699,47299
47299,48843,47035,48292
48292,48372,46829,47241
47241,47347,42500,43015
43016,43639,39600,40734
40734,44000,40565,43543
43546,44978,43069,44865
44865,45200,40675,42810
42810,42966,41646,42670
42670,43950,40750,43160
43160,44350,42098,42147
42147,42787,40888,41026
41025,42590,40753,41524
41524,44141,41410,43824
43820,48495,43283,48141
48141,48336,47430,47634
47634,49228,47088,48200
48200,49536,46891,49224
49224,51886,49022,51471
51471,55750,50382,55315
55315,55332,53357,53785
53785,56100,53617,53951
53955,55489,53661,54949
54949,56561,54080,54659
54659,57839,54415,57471
57471,57680,53879,55996
55996,57777,54167,57367
57370,58532,56818,57347
57347,62933,56850,61672
61672,62378,60150,60875
60875,61718,58963,61528
61528,62695,59844,62009
62005,64486,61322,64280
64280,67000,63481,66001
66001,66639,62000,62193
62193,63732,60000,60688
60688,61747,59562,61286
61286,61500,59510,60852
60852,63710,60650,63078
63078,63293,59817,60328
60328,61496,58000,58413
58413,62499,57820,60575
60575,62980,60174,62253
62253,62359,60673,61859
61859,62405,59945,61299
61299,62437,59405,60911
60911,64270,60624,63219
63220,63500,60382,62896
62896,63086,60677,61395
61395,62595,60721,60937
60940,61560,60050,61470
61470,63286,61322,63273
63273,67789,63273,67525
67525,68524,66222,66947
66947,69000,62822,64882
64882,65600,64100,64774
64774,65450,62278,64122
64122,65000,63360,64380
64380,65550,63576,65519
65519,66401,63400,63606
63606,63617,58574,60058
60058,60840,58373,60344
60344,60976,56474,56891
56891,58320,55600,58052
58057,59845,57353,59707
59707,60029,58486,58622
58617,59444,55610,56247
56243,58009,55317,57541
57541,57735,55837,57138
57138,59398,57000,58960
58960,59150,53500,53726
53723,55280,53610,54721
54716,57445,53256,57274
57274,58865,56666,57776
57776,59176,55875,56950
56950,59053,56458,57184
57184,57375,55777,56480
56484,57600,51680,53601
53601,53859,42000,49152
49152,49699,47727,49396
49396,50891,47100,50441
50441,51936,50039,50588
50588,51200,48600,50471
50471,50797,47320,47545
47535,50125,46852,47140
47140,49485,46751,49389
49389,50777,48638,50053
50053,50189,45672,46702
46702,48700,46290,48343
48336,49500,46547,48864
48864,49436,47511,47632
47632,47995,45456,46131
46133,47392,45500,46834
46834,48300,46406,46681
46681,47537,45558,46914
46914,49328,46630,48889
48887,49576,48421,48588
48588,51375,47920,50838
50838,51810,50384,50820
50819,51156,50142,50399
