set 	title 'Candlesticks' font ',18'
set 	terminal wxt size 1300,600
set style line 5 lt rgb 'cyan' lw 5 pt 6
set style fill empty
plot '-' with financebars, '-' lw 1 lc rgb 'blue' with lines, '-' lw 1 lc rgb 'orange' with lines, '-' lw 1 lc rgb 'green' with lines
1580716800000 -1.3771364233351249 -1.3704210119636004 -1.393117586468016 -1.3834982738178894
1580731200000 -1.3834982738178894 -1.3394107752210402 -1.388697245736201 -1.3657077275115024
1580745600000 -1.3657077275115024 -1.3489985763761936 -1.369240606554063 -1.351313392224645
1580760000000 -1.351313392224645 -1.3093333199837622 -1.354408172257569 -1.3356012468043725
1580774400000 -1.3348410795309749 -1.3141597633606916 -1.3470736479666092 -1.3470736479666092
1580788800000 -1.3470736479666092 -1.2729656758128873 -1.3516997163553917 -1.2946271725940668
1580803200000 -1.293897511853923 -1.2451420813640068 -1.313415715707318 -1.2837377727947985
1580817600000 -1.2844600552386225 -1.2729656758128873 -1.3115580150058734 -1.293168383130407
1580832000000 -1.2913478838109371 -1.2549152830635106 -1.3048987229158966 -1.2736802167507564
1580846400000 -1.2765434971607714 -1.2559680994443163 -1.279055610450292 -1.271538123821702
1580860800000 -1.271538123821702 -1.2658482080440236 -1.2902571729229484 -1.2765434971607714
1580875200000 -1.2776193444942345 -1.2743952686224818 -1.3123006812115643 -1.303056762549835
1580889600000 -1.3026887772650937 -1.2993829891305941 -1.3276481656871573 -1.3141597633606916
1580904000000 -1.3149043650332175 -1.271181554019386 -1.3152768738846101 -1.2833768271132042
1580918400000 -1.284098848805221 -1.256670593326385 -1.3019532126861397 -1.2917117186339429
1580932800000 -1.2913478838109371 -1.2826553263604048 -1.2957226629355036 -1.2898938668335755
1580947200000 -1.2888047398426334 -1.2880793136229356 -1.29901635301283 -1.290620611051608
1580961600000 -1.290620611051608 -1.258781040820931 -1.290620611051608 -1.2826553263604048
1580976000000 -1.2801341652915 -1.258781040820931 -1.2833768271132042 -1.2608959517255571
1580990400000 -1.2605431558143303 -1.2275826699650698 -1.2765434971607714 -1.2591332155032116
1581004800000 -1.2573735810530513 -1.2447947988461912 -1.2594855142561947 -1.2454894845288695
1581019200000 -1.2454894845288695 -1.2265593029987316 -1.250016742827343 -1.243406873571343
1581033600000 -1.2437536743377806 -1.236495996031496 -1.2552660987134867 -1.2458370084246349
1581048000000 -1.2458370084246349 -1.2265593029987316 -1.2704687956143002 -1.2272414312652902
1581062400000 -1.2286070852842967 -1.1394342831883648 -1.2303167796655379 -1.1973282616072674
1581076800000 -1.1973282616072674 -1.1583622930738837 -1.222815892127416 -1.1708604528757338
1581091200000 -1.1708604528757338 -1.132272490160745 -1.1927032120677052 -1.1555001508751581
1581105600000 -1.155182640156504 -1.1466477377066666 -1.1874435023747254 -1.163470861016606
1581120000000 -1.163791014693104 -1.1570892184270856 -1.2392546184705757 -1.1963353771967247
1581134400000 -1.1963353771967247 -1.1698934906730734 -1.2016421889876536 -1.18025627770862
1581148800000 -1.18090753139494 -1.1363141558521213 -1.18090753139494 -1.1698934906730734
1581163200000 -1.1705380282396987 -1.154547920998413 -1.1831902651434074 -1.1669982015345746
1581177600000 -1.1669982015345746 -1.1372491722830278 -1.173443599291113 -1.1555001508751581
1581192000000 -1.155182640156504 -1.1548652302189082 -1.1864603792413049 -1.1796054478776414
1581206400000 -1.1796054478776414 -1.160594081023991 -1.1894126529946063 -1.173443599291113
1581220800000 -1.1731203408431712 -1.1397468320266646 -1.1812333173564464 -1.1510641486705337
1581235200000 -1.1510641486705337 -1.0948194904294135 -1.1631508098056809 -1.11382745447459
1581249600000 -1.11382745447459 -1.05268335677971 -1.1347577353044629 -1.115351612672408
1581264000000 -1.1147416705979933 -1.0788096613719298 -1.1165726140451024 -1.0906441190189327
1581278400000 -1.0906441190189327 -1.0642108619507773 -1.1086626245216111 -1.0755795895575369
1581292800000 -1.0770465107535492 -1.0444082346545975 -1.1068460935952131 -1.0921333225704004
1581307200000 -1.0921333225704004 -1.0861897686695525 -1.143818881506189 -1.1141321003261466
1581321600000 -1.1150465951315345 -1.1080567474961094 -1.1792801917355644 -1.1596369905058843
1581336000000 -1.1602749490602167 -1.067695186033388 -1.1615520884419839 -1.0966142860054366
1581350400000 -1.0981124136264586 -1.0668229661787023 -1.1110898101792224 -1.0711916930921175
1581364800000 -1.069733329117733 -0.9779002135058463 -1.0711916930921175 -1.025826618942462
1581379200000 -1.025826618942462 -1.003756757655431 -1.0535433253005315 -1.0373290602512113
1581393600000 -1.0376112671107107 -1.0362010285467127 -1.0720677334459974 -1.0706080922585124
1581408000000 -1.071483621279857 -1.0043026091973684 -1.071483621279857 -1.0067626350382306
1581422400000 -1.0067626350382306 -0.9875182411625228 -1.0288996762568094 -1.0053952069569758
1581436800000 -1.0021209884793485 -0.9702190738997107 -1.025826618942462 -0.9707469176702138
1581451200000 -0.9712750402069146 -0.9660063241200879 -1.0078579253996456 -0.9969586349416099
1581465600000 -0.9977719737420382 -0.976040736279929 -1.0174932373833177 -0.9792305316480292
1581480000000 -0.9794968077779476 -0.9524361785105084 -0.9893992036947934 -0.9707469176702138
1581494400000 -0.9704829609575819 -0.9122987106046175 -0.9829648651421479 -0.9195460245948277
1581508800000 -0.9185432669274488 -0.8840655845794182 -0.9375143683257817 -0.9031277453478742
1581523200000 -0.9031277453478742 -0.9009096298358528 -0.9449474411239596 -0.9326742111246791
1581537600000 -0.9303896562536568 -0.9167908569158374 -0.9519179095173061 -0.9477813989655259
1581552000000 -0.9488139235797152 -0.9197968712034427 -0.952177010438564 -0.92735167923358
1581566400000 -0.92735167923358 -0.9063404010209869 -0.9649559038554361 -0.9565920286476808
1581580800000 -0.9565920286476808 -0.9537330273500252 -1.0172166504641156 -1.0002159668119164
1581595200000 -1.0010319603292457 -0.9571127263944101 -1.0141792326932804 -0.9755100915341263
1581609600000 -0.9752448747178256 -0.967320902986934 -1.011975982008563 -1.000759888500605
1581624000000 -1.0029385385998273 -0.9994006385971617 -1.0749934230694758 -1.051537881282181
1581638400000 -1.050679634912807 -1.0040296461821618 -1.0732369823368815 -1.0106014113453965
1581652800000 -1.0106014113453965 -1.0051219455807707 -1.061605563039014 -1.0538301458962165
1581667200000 -1.0538301458962165 -1.003756757655431 -1.0575663192321088 -1.0073101302613237
1581681600000 -1.0064889997923039 -0.9757753787090473 -1.0064889997923039 -0.9923621688254506
1581696000000 -0.9926319651308777 -0.9704829609575819 -1.0034839435765324 -0.9707469176702138
1581710400000 -0.9704829609575819 -0.9558114900364384 -1.009777574967619 -1.0040296461821618
1581724800000 -1.0040296461821618 -0.9826976640717537 -1.0291795139527729 -1.0103267238007494
1581739200000 -1.0095031135963337 -0.9888614247089905 -1.0174932373833177 -1.0141792326932804
1581753600000 -1.015006704813313 -0.9834994815676051 -1.016111067156366 -0.9904756300635316
1581768000000 -0.9902064148243233 -0.9398152769211122 -1.0238759425540924 -1.0186003506987251
1581782400000 -1.0183234574393067 -0.99371187884274 -1.1202445887952235 -1.0817551716016867
1581796800000 -1.0793980697443055 -1.0639210488781792 -1.1053348344289364 -1.0939232991819783
1581811200000 -1.0939232991819783 -1.058430499035278 -1.1086626245216111 -1.067986095126349
1581825600000 -1.0653709548883077 -1.0489653487786958 -1.0844135692682968 -1.0735295083006466
1581840000000 -1.0720677334459974 -1.066532395204698 -1.1020180818029426 -1.0978126084975453
1581854400000 -1.0981124136264586 -1.066532395204698 -1.1757093390530766 -1.1335143406773744
1581868800000 -1.138185063787933 -1.1086626245216111 -1.248273063222516 -1.1257779567408792
1581883200000 -1.1251616239016462 -1.058430499035278 -1.1679623668029029 -1.0642108619507773
1581897600000 -1.0645007590393418 -1.0469690555162714 -1.152962883418191 -1.141311043201225
1581912000000 -1.1422507456979392 -1.1403722229163413 -1.2026403590921573 -1.174737679057601
1581926400000 -1.1727971868574862 -1.1428777049661252 -1.2184098521237055 -1.1757093390530766
1581940800000 -1.1757093390530766 -1.155182640156504 -1.2361517026901712 -1.161232650649777
1581955200000 -1.1577255531606163 -1.1120015257871256 -1.1740904298440664 -1.117489344437799
1581969600000 -1.1168780974750023 -1.1089657007476013 -1.1466477377066666 -1.1089657007476013
1581984000000 -1.1089657007476013 -1.1086626245216111 -1.1425641761972924 -1.117183674253545
1581998400000 -1.1177951080848836 -1.1098754809468203 -1.1288653318391306 -1.1177951080848836
1582012800000 -1.1193253302656512 -1.1159619270032226 -1.1838434330307703 -1.1425641761972924
1582027200000 -1.144132803969919 -1.1223928173335131 -1.1792801917355644 -1.1372491722830278
1582041600000 -1.1369374029897776 -1.075286463364613 -1.1369374029897776 -1.0788096613719298
